kernel,BM,BN,BK,TM,TN,threads,smem_bytes,avg_ms,gflops,correct
k9,64,64,8,4,8,128,4096,89.7087,1532.0574,1
k9,64,64,8,8,4,128,4096,76.6126,1793.9469,1
k9,64,64,8,8,8,64,4096,66.4541,2068.1782,1
k9,64,64,16,4,4,256,8192,80.3804,1709.8573,1
k9,64,64,16,4,8,128,8192,88.3251,1556.0574,1
k9,64,64,16,8,4,128,8192,74.9426,1833.9227,1
k9,64,64,16,8,8,64,8192,71.0834,1933.4882,1
k9,64,128,8,8,8,128,6144,69.3524,1981.7476,1
k9,64,128,16,4,8,256,12288,82.9761,1656.3679,1
k9,64,128,16,8,4,256,12288,72.0900,1906.4909,1
k9,64,128,16,8,8,128,12288,67.5258,2035.3551,1
k9,128,64,8,8,8,128,6144,65.9432,2084.2023,1
k9,128,64,16,4,8,256,12288,79.5866,1726.9105,1
k9,128,64,16,8,4,256,12288,68.1039,2018.0781,1
k9,128,64,16,8,8,128,12288,62.6201,2194.8054,1
k9,128,128,8,8,8,256,8192,64.1924,2141.0487,1
k9,128,128,16,4,8,512,16384,86.5464,1588.0382,1
k9,128,128,16,8,4,512,16384,69.6324,1973.7798,1
k9,128,128,16,8,8,256,16384,59.9072,2294.1966,1
