kernel,BM,BN,BK,TM,TN,M,N,K,threads,smem_bytes,avg_ms,gflops,correct,status,gpu
k10_warptiling,64,64,8,4,4,2048,2048,2048,32,4096,7.8463,2189.55,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,64,8,4,8,2048,2048,2048,32,4096,7.8062,2200.81,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,64,8,8,4,2048,2048,2048,32,4096,7.7454,2218.08,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,64,8,8,8,2048,2048,2048,32,4096,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,64,16,4,4,2048,2048,2048,32,8192,7.3802,2327.84,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,64,16,4,8,2048,2048,2048,32,8192,7.1954,2387.60,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,64,16,8,4,2048,2048,2048,32,8192,7.4883,2294.24,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,64,16,8,8,2048,2048,2048,32,8192,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,64,32,4,4,2048,2048,2048,32,16384,9.3119,1844.94,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,64,32,4,8,2048,2048,2048,32,16384,9.1543,1876.70,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,64,32,8,4,2048,2048,2048,32,16384,9.0078,1907.23,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,64,32,8,8,2048,2048,2048,32,16384,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,128,8,4,4,2048,2048,2048,64,6144,7.0566,2434.57,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,128,8,4,8,2048,2048,2048,64,6144,7.1630,2398.41,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,128,8,8,4,2048,2048,2048,64,6144,7.2833,2358.80,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,128,8,8,8,2048,2048,2048,64,6144,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,128,16,4,4,2048,2048,2048,64,12288,7.1353,2407.73,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,64,128,16,4,8,2048,2048,2048,64,12288,6.7921,2529.39,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
